domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
dbankcdn.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
gname-dns.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
yellowblue.io,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
bappam.org,FALSE,,,,,,,,,,,,[Errno 11002] getaddrinfo failed
tencent-cloud.net,FALSE,,,,,,,,,,,,[Errno 11004] getaddrinfo failed
racingpost.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
mawartotoajax.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
xhamster3.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
darknessporn.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
gstcpx.site,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
zimperium.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,30264f21.sni.cloudflaressl.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/2/2025,12/31/2025,90,unknown,
truoptik.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,truoptik.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/7/2025,2/5/2026,90,unknown,
gcprivacy.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,gcprivacy.com,Amazon RSA 2048 M03,sha256WithRSAEncryption,RSA,2048,5/31/2025,6/29/2026,394,unknown,
familysearch.org,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,*.familysearch.org,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,5/23/2025,6/23/2026,396,unknown,
openwebtorrent.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,openwebtorrent.com,R12,sha256WithRSAEncryption,RSA,2048,10/29/2025,1/27/2026,90,unknown,
swapfone.org,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,dreamlandwaterdrillers.co.ke,WR3,sha256WithRSAEncryption,RSA,2048,11/10/2025,2/8/2026,90,unknown,
peers.tv,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,peers.tv,R12,sha256WithRSAEncryption,RSA,4096,9/21/2025,12/20/2025,90,unknown,
optable.co,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,optable.co,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,9/29/2025,12/28/2025,90,unknown,
amazon.cn,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,www.amazon.cn,DigiCert Global CA G2,sha256WithRSAEncryption,RSA,2048,7/3/2025,7/1/2026,363,unknown,
deutsche-bank.de,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,www.deutsche-bank.de,DigiCert EV RSA CA G2,sha256WithRSAEncryption,RSA,2048,7/10/2025,4/29/2026,293,unknown,
swiggy.com,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,swiggy.in,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,10/13/2025,11/11/2026,394,unknown,
jpmchase.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,specialredirect.chase.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption,RSA,2048,3/4/2025,3/3/2026,364,unknown,
terabox.club,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,*.terabox.club,RapidSSL TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,6/6/2025,7/7/2026,396,unknown,
1xprobet-in.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
